city,ds,yhat
Chennai,2014-08-31,72.75885757132953
Chennai,2014-10-01,72.71357917350394
Chennai,2014-10-15,72.16852390937878
Chennai,2014-11-01,71.61264196656066
Chennai,2014-12-01,69.53098458517815
Chennai,2014-12-16,68.31117412482114
Chennai,2015-01-17,69.59267104958502
Chennai,2015-02-04,67.54170825214337
Chennai,2015-02-16,67.49278401493454
Chennai,2015-03-01,67.74798429695542
Chennai,2015-04-02,66.44054214953425
Chennai,2015-04-15,66.44906717756459
Chennai,2015-05-01,66.04817487856215
Chennai,2015-05-16,66.98533267963712
Chennai,2015-06-16,68.62462649691896
Chennai,2015-07-01,68.77038812882253
Chennai,2015-07-15,68.70681526591262
Chennai,2015-08-01,69.65580602684653
Chennai,2015-08-15,69.83267745288491
Chennai,2015-09-01,70.18297270246507
Chennai,2015-11-01,69.45327515107955
Chennai,2015-11-16,68.45492118486362
Chennai,2015-12-01,67.28916508933078
Chennai,2015-12-16,65.48240889301017
Chennai,2016-01-01,66.66296604440798
Chennai,2016-01-16,67.35016349851725
Chennai,2016-01-19,66.99957391352261
Chennai,2016-02-01,66.04392530105281
Chennai,2016-02-17,64.83884685208608
Chennai,2016-03-09,64.6901561646356
Chennai,2016-03-17,64.71104935796026
Chennai,2016-04-05,65.20229268855061
Chennai,2016-04-16,65.74659183249449
Chennai,2016-05-01,65.17289263700285
Chennai,2016-05-17,65.84161708000775
Chennai,2016-06-01,66.67593668163953
Chennai,2016-06-16,67.74590760668724
Chennai,2016-07-01,68.64498018788552
Chennai,2016-07-15,68.71194324684957
Chennai,2016-08-01,69.17512139879408
Chennai,2016-08-15,69.49490417543967
Chennai,2016-09-01,70.17953319315781
Chennai,2016-09-15,71.12283157132944
Chennai,2016-10-01,71.62733674997506
Chennai,2016-10-05,70.78671659365033
Chennai,2016-10-15,71.21768981761356
Chennai,2016-11-06,69.9651568715943
Chennai,2016-11-16,68.83404347409454
Chennai,2016-12-01,68.16465401858181
Chennai,2016-12-17,67.53711110513608
Chennai,2017-01-01,68.60173303178462
Chennai,2017-01-16,68.7037436669569
Chennai,2017-04-01,66.97551071347003
Chennai,2017-04-16,67.65352914035198
Chennai,2017-05-01,66.61822348736887
Chennai,2017-05-16,67.48598560219065
Chennai,2017-06-01,68.85777150555528
Chennai,2017-06-16,69.58265935473896
Chennai,2017-06-19,69.84590850932024
Chennai,2017-06-20,69.93920579059953
Chennai,2017-06-21,69.47064606482914
Chennai,2017-06-22,69.95004515642498
Chennai,2017-06-23,70.08564197854594
Chennai,2017-06-26,70.3852394326662
Chennai,2017-06-27,70.46700363594104
Chennai,2017-06-28,69.98216655378589
Chennai,2017-06-29,70.44080432740323
Chennai,2017-06-30,70.55155180528023
Chennai,2017-07-03,70.75776903035475
Chennai,2017-07-04,70.80447821277235
Chennai,2017-07-05,70.28394643526063
Chennai,2017-07-06,70.70708494166917
Chennai,2017-07-07,70.78335642615833
Chennai,2017-07-10,70.89995879055263
Chennai,2017-07-11,70.92360606859562
Chennai,2017-07-12,70.38427919521796
Chennai,2017-07-13,70.79323188065766
Chennai,2017-07-14,70.86013920679804
Chennai,2017-07-17,70.97768401363398
Chennai,2017-07-18,71.01070049373241
Chennai,2017-07-19,70.48465498391826
Chennai,2017-07-20,70.91027485488416
Chennai,2017-07-21,70.99662654230417
Chennai,2017-07-24,71.18226194314587
Chennai,2017-07-25,71.23880369164033
Chennai,2017-07-26,70.73550208380792
Chennai,2017-07-27,71.18242254715848
Chennai,2017-07-28,71.28803459660313
Chennai,2017-07-31,71.51456311649531
Chennai,2017-08-01,71.5780875566917
Chennai,2017-08-02,71.08434896942957
Chennai,2017-08-04,71.64572537478969
Chennai,2017-08-07,71.86407887039763
Chennai,2017-08-08,71.92098348837919
Chennai,2017-08-09,71.4135346025569
Chennai,2017-08-10,71.85250680691048
Chennai,2017-08-11,71.94721651670667
Chennai,2017-08-14,72.13324874724165
Chennai,2017-08-16,71.67416325537134
Chennai,2017-08-17,72.11411382943919
Chennai,2017-08-18,72.2136745623259
Chennai,2017-08-21,72.43827625174627
Chennai,2017-08-22,72.50979963981545
Chennai,2017-08-23,72.02359434712754
Chennai,2017-08-24,72.49035280896067
Chennai,2017-08-28,72.93919814931378
Chennai,2017-08-29,73.04280723761033
Chennai,2017-08-30,72.58757963132066
Chennai,2017-08-31,73.08347952555276
Chennai,2017-09-01,73.23885001715844
Chennai,2017-09-04,73.61763109701454
Chennai,2017-09-05,73.7321772823679
Chennai,2017-09-07,73.78001217194678
Chennai,2017-09-08,73.93141264431702
Chennai,2017-09-11,74.26931230317138
Chennai,2017-09-12,74.36153808190468
Chennai,2017-09-13,73.88643845411794
Chennai,2017-09-14,74.35435601975654
Chennai,2017-09-15,74.47417869928702
Chennai,2017-09-19,74.7652356991656
Chennai,2017-09-20,74.2552141192169
Chennai,2017-09-21,74.68923612141592
Chennai,2017-09-22,74.77662844768206
Chennai,2017-09-25,74.92554766662761
Chennai,2017-09-26,74.95845209565641
Chennai,2017-09-27,74.42689413928292
Chennai,2017-09-28,74.84162113140272
Chennai,2017-09-29,74.91177338209141
Chennai,2017-10-03,75.0391282517455
Chennai,2017-10-04,74.49567165719316
