city,ds,yhat
Chennai,2002-06-16,22.39605765441033
Chennai,2002-08-16,24.137007787832196
Chennai,2002-09-01,25.293333585544552
Chennai,2002-09-16,25.216445194576977
Chennai,2002-10-01,25.570540003874445
Chennai,2002-11-16,23.756147882656496
Chennai,2002-12-01,23.874020175056888
Chennai,2003-01-01,23.083446614851802
Chennai,2003-02-01,23.77222023153146
Chennai,2003-03-01,23.336725589878984
Chennai,2003-03-16,22.487191286696465
Chennai,2003-04-01,22.327205797937243
Chennai,2003-04-26,22.47677111942629
Chennai,2003-05-16,23.62121752854731
Chennai,2003-06-01,24.165291586017847
Chennai,2003-08-31,27.614251154625215
Chennai,2003-12-12,25.752216757084504
Chennai,2003-12-31,25.399779813020324
Chennai,2004-06-15,26.69553907950389
Chennai,2004-07-31,29.541514104408222
Chennai,2005-04-01,27.104637451093325
Chennai,2005-04-05,27.183877047382584
Chennai,2005-06-20,29.35864623720207
Chennai,2005-09-06,32.20120432070992
Chennai,2006-06-10,31.405022216653382
Chennai,2006-06-20,31.860448685368446
Chennai,2006-09-06,34.57912512558123
Chennai,2006-11-30,32.74657842426746
Chennai,2007-02-16,32.51044585396137
Chennai,2007-03-01,32.30342583861855
Chennai,2007-05-16,33.12140019457174
Chennai,2007-06-06,33.31543702231461
Chennai,2008-05-24,35.99579553470601
Chennai,2008-06-06,35.70872595689329
Chennai,2008-07-16,39.17018953600633
Chennai,2008-11-06,37.654599324760646
Chennai,2009-01-29,37.691810316033376
Chennai,2009-07-02,40.16903466809756
Chennai,2010-02-27,40.020633537299574
Chennai,2010-04-01,38.75032392485065
Chennai,2010-09-08,44.14179292071987
Chennai,2010-11-02,42.73787283749448
Chennai,2011-06-25,44.57462795945324
Chennai,2011-07-01,44.965366582668366
Chennai,2012-06-18,45.809684304680744
Chennai,2012-07-25,48.56526664858383
Chennai,2012-08-01,48.16974378116761
Chennai,2012-09-14,49.08427837852545
Chennai,2012-10-27,48.01748795999525
Chennai,2012-11-01,47.29342191646039
Chennai,2013-01-18,47.93276373621829
Chennai,2013-02-16,47.08209385405743
Chennai,2013-03-23,46.09474613986235
Chennai,2013-04-01,45.94117700952593
Chennai,2013-05-11,47.38345549933578
Chennai,2013-06-01,47.8286553873188
Chennai,2013-07-02,49.878880522470304
Chennai,2013-08-01,50.33826607106539
Chennai,2013-09-01,51.428129339581986
Chennai,2013-10-01,51.68969018088452
Chennai,2013-11-01,49.89714907774134
Chennai,2013-12-01,50.00027927077855
Chennai,2013-12-21,49.452247921737346
Chennai,2014-01-04,49.72776494963887
Chennai,2014-02-01,49.876890015185765
Chennai,2014-03-01,49.45070867682725
Chennai,2014-05-13,49.5672686178378
Chennai,2014-06-01,50.289490167682814
Chennai,2014-07-01,52.10879006116365
Chennai,2014-08-01,52.94875522255155
Chennai,2014-08-31,53.749747032628726
Chennai,2014-10-19,53.36560113019256
Chennai,2014-11-01,52.59262933244482
Chennai,2014-12-01,51.812097581795335
Chennai,2014-12-16,51.70950213865781
Chennai,2015-01-17,52.97074071528599
Chennai,2015-02-01,52.3574711572548
Chennai,2015-02-04,51.74005175568642
Chennai,2015-02-16,51.34698541239495
Chennai,2015-03-01,51.92197651560249
Chennai,2015-04-02,50.52613932094624
Chennai,2015-04-15,50.61572262133449
Chennai,2015-05-01,50.68217708009301
Chennai,2015-05-16,52.140627745820694
Chennai,2015-06-16,52.42900931995378
Chennai,2015-07-01,53.99633244484757
Chennai,2015-07-15,55.20845155390341
Chennai,2015-08-01,55.06250946016099
Chennai,2015-08-15,54.64952668887644
Chennai,2015-09-01,55.040520187831554
Chennai,2015-10-01,55.416594076310325
Chennai,2015-10-16,54.710657751494004
Chennai,2015-11-01,54.11950834773761
Chennai,2015-11-16,53.1582041993877
Chennai,2015-12-01,53.27979941311598
Chennai,2015-12-16,52.99042645479463
Chennai,2016-01-01,52.76768651777567
Chennai,2016-01-15,53.719488004050724
Chennai,2016-02-01,52.89493508229282
Chennai,2016-02-17,52.542327054779065
Chennai,2016-03-01,52.447660313950884
Chennai,2016-03-09,51.89974127276687
Chennai,2016-03-16,51.47091722993795
Chennai,2016-03-17,51.216935229437894
Chennai,2016-04-05,51.76847047593553
Chennai,2016-04-09,52.06008277322566
Chennai,2016-04-16,51.833830968855125
Chennai,2016-05-01,52.10248022859139
Chennai,2016-05-17,52.85937792041006
Chennai,2016-06-01,52.88028770544859
Chennai,2016-06-16,53.249897084795734
Chennai,2016-07-01,55.05077704315748
Chennai,2016-07-15,56.205910731235896
Chennai,2016-08-01,55.510006237542136
Chennai,2016-08-15,55.15938870099848
Chennai,2016-09-01,55.82891404819318
Chennai,2016-09-15,56.22394682764421
Chennai,2016-10-01,56.901194286622854
Chennai,2016-10-05,56.42949455182564
Chennai,2016-10-15,56.01381357499636
Chennai,2016-11-06,54.90398974625992
Chennai,2016-11-16,54.279974895074496
Chennai,2016-12-01,54.16682749864878
Chennai,2016-12-17,54.450084052693214
Chennai,2017-01-01,54.55412576244636
Chennai,2017-01-16,55.094528318453165
Chennai,2017-03-05,54.49634980857543
Chennai,2017-04-01,54.112233821894996
Chennai,2017-04-16,54.149675792784706
